Address 1,Address 2,Address 3,Country,Full Address,Asset Description,"Additional Asset
Description","Number of
Completed Units",Receiver's Firm,Receiver's Firm Web Address
Liscannor,,Clare,Ireland,"Liscannor, Clare, Ireland",Hotel,,Single,PricewaterhouseCoopers,www.pwc.com/ie
Liscannor,,Clare,Ireland,"Liscannor, Clare, Ireland",Development - Not Commenced,,,PricewaterhouseCoopers,www.pwc.com/ie
Lisavard,,Cork,Ireland,"Lisavard, Cork, Ireland",Agricultural Land,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Tulligmore,Ballinhassig,Cork,Ireland,"Tulligmore, Ballinhassig, Cork, Ireland",Development - Not Commenced,,,Ernst & Young,www.ey.com/Home
New Cork Road,Bandon,Cork,Ireland,"New Cork Road, Bandon, Cork, Ireland",Office,,Single,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Castlewoods,Bandon,Cork,Ireland,"Castlewoods, Bandon, Cork, Ireland",Residential,,Single,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Curraheen,Bishopstown,Cork,Ireland,"Curraheen, Bishopstown, Cork, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
Station Road,Blarney,Cork,Ireland,"Station Road, Blarney, Cork, Ireland",Residential,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Ardamadane,Blarney,Cork,Ireland,"Blarney, Cork, Ireland",Development - Not Commenced,,Single,PwC,www.pwc.com/ie
"Blarney Business
Park",Blarney,Cork,Ireland,"Blarney Business
Park, Blarney, Cork, Ireland",Development - Not Commenced,,,Ernst & Young,www.ey.com/Home
"Blarney Business
Park",Blarney,Cork,Ireland,"Blarney Business
Park, Blarney, Cork, Ireland",Retail,,Multiple,Ernst & Young,www.ey.com/Home
"Blarney Business
Park",Blarney,Cork,Ireland,"Blarney Business
Park, Blarney, Cork, Ireland",Other,"Zoned Land - No
Planning",Single,Ernst & Young,www.ey.com/Home
Whelan's Quarry,Carrigtwohill,Cork,Ireland,"Whelan's Quarry, Carrigtwohill, Cork, Ireland",Other,Quarry,Single,Grant Thornton,www.grantthornton.ie
Castlemartyr Resort,Castlemartyr,Cork,Ireland,"Castlemartyr Resort, Castlemartyr, Cork, Ireland",Residential,,Multiple,Ernst & Young,www.ey.com/Home
Salter,Castletownshend,Cork,Ireland,"Salter, Castletownshend, Cork, Ireland",Residential,,Single,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
The Miles,Clonakilty,Cork,Ireland,"The Miles, Clonakilty, Cork, Ireland",Development - Not Commenced,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Guillanes,Clonakilty,Cork,Ireland,"Guillanes, Clonakilty, Cork, Ireland",Agricultural Land,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Inchydoney Island,Clonakilty,Cork,Ireland,"Inchydoney Island, Clonakilty, Cork, Ireland",Development - Not Commenced,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Woodlands,Clonakilty,Cork,Ireland,"Woodlands, Clonakilty, Cork, Ireland",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Clogheen,Clonakilty,Cork,Ireland,"Clogheen, Clonakilty, Cork, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
Grillagh,Clonakilty,Cork,Ireland,"Grillagh, Clonakilty, Cork, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
Cooline,Cobh,Cork,Ireland,"Cooline, Cobh, Cork, Ireland",Development - Commenced,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
"Certain units
Rushbrooke",Cobh,Cork,Ireland,"Certain units
Rushbrooke, Cobh, Cork, Ireland",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Rushbrooke Centre,Cobh,Cork,Ireland,"Rushbrooke Centre, Cobh, Cork, Ireland",Retail,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Bluegrove,Cobh,Cork,Ireland,"Bluegrove, Cobh, Cork, Ireland",Residential,,Single,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Marino Point,Cobh,Cork,Ireland,"Marino Point, Cobh, Cork, Ireland",Industrial,,Multiple,Ernst & Young,www.ey.com
"The
Pines",Cobh,Cork,Ireland,"The
Pines, Cobh, Cork, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
"The
Riverside Rise",Cobh,Cork,Ireland,"The
Riverside Rise, Cobh, Cork, Ireland",Residential,,Single,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Hermitage Grove,Cobh,Cork,Ireland,"Hermitage Grove, Cobh, Cork, Ireland",Residential,,Single,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
"Rushbrook
Commercial Centre",Cobh,Cork,Ireland,"Rushbrook
Commercial Centre, Cobh, Cork, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Lynchs Quay,Cobh,Cork,Ireland,"Lynchs Quay, Cobh, Cork, Ireland",Other,Boathouse,Single,Ernst & Young,www.ey.com
West Beach,Cobh,Cork,Ireland,"West Beach, Cobh, Cork, Ireland",Other,Vacant property,Single,Ernst & Young,www.ey.com
West Beach,Cobh,Cork,Ireland,"West Beach, Cobh, Cork, Ireland",Mixed Use,,Multiple,KPMG,www.kpmg.ie
Cois Cuain,Courtmacsherry,Cork,Ireland,"Cois
Cuain, Courtmacsherry, Cork, Ireland",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Ardfield,Douglas,Cork,Ireland,"Ardfield, Douglas, Cork, Ireland",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Ardfield Road,Douglas,Cork,Ireland,"Ardfield Road, Douglas, Cork, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
"Sunnybank,
Donnybrook",Douglas,Cork,Ireland,"Sunnybank,
Donnybrook, Douglas, Cork, Ireland",Mixed Use,,Multiple,KPMG,www.kpmg.ie
Beechwood Place,Douglas Road,Cork,Ireland,"Beechwood Place, Douglas Road, Cork, Ireland",Residential,,Single,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Clondulane,Fermoy,Cork,Ireland,"Clondulane, Fermoy, Cork, Ireland",Residential,,Multiple,Ernst & Young,www.ey.com
"The
Courtyard",Fota Island,Cork,Ireland,"The
Courtyard, Fota Island, Cork, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Whelan's Quarry,Glanworth,Cork,Ireland,"Whelan's Quarry, Glanworth, Cork, Ireland",Other,Quarry,Single,Grant Thornton,www.grantthornton.ie
Ashbourne Villas,Glounthaune,Cork,Ireland,"Ashbourne Villas, Glounthaune, Cork, Ireland",Mixed Use,,Multiple,KPMG,www.kpmg.ie
Clifton,Grange,Cork,Ireland,"Clifton, Grange, Cork, Ireland",Retail,,Single,KPMG,www.kpmg.ie
The Moorings,Kilmacsimon,Cork,Ireland,"The Moorings, Kilmacsimon, Cork, Ireland",Residential,,Multiple,KPMG,www.kpmg.ie
Courtstown,Little Island,Cork,Ireland,"Courtstown, Little Island, Cork, Ireland",Development - Not Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"The
Orchard",Macroom,Cork,Ireland,"The Orchard, Macroom, Cork, Ireland",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Codrum,Macroom,Cork,Ireland,"Codrum, Macroom, Cork, Ireland",Agricultural Land,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
"The
Hermitage",Macroom,Cork,Ireland,"The
Hermitage, Macroom, Cork, Ireland",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
College Wood,Mallow,Cork,Ireland,"College Wood, Mallow, Cork, Ireland",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Market Square,Mallow,Cork,Ireland,"Market Square, Mallow, Cork, Ireland",Retail,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Buttery Court,Mallow,Cork,Ireland,"Buttery Court, Mallow, Cork, Ireland",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
"Certain Units -
Bweeng Village",Mallow,Cork,Ireland,"Certain Units -
Bweeng Village, Mallow, Cork, Ireland",Development - Commenced,,,Grant Thornton,www.grantthornton.ie
"Certain Units -
Bweeng Village",Mallow,Cork,Ireland,"Certain Units -
Bweeng Village, Mallow, Cork, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Whelan's Quarry,Mallow,Cork,Ireland,"Whelan's Quarry, Mallow, Cork, Ireland",Other,Quarry,Single,Grant Thornton,www.grantthornton.ie
Woodland Drive,Mallow,Cork,Ireland,"Woodland Drive, Mallow, Cork, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Lacknalooha,Mallow,Cork,Ireland,"Lacknalooha, Mallow, Cork, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
"Tir
Cluain",Midleton,Cork,Ireland,"Tir
Cluain, Midleton, Cork, Ireland",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
"The
Meadows",Midleton,Cork,Ireland,"The
Meadows, Midleton, Cork, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Suttons Court,Mitchelstown,Cork,Ireland,"Suttons Court, Mitchelstown, Cork, Ireland",Retail,,Single,KPMG,www.kpmg.ie
Rockville,Montenotte,Cork,Ireland,"Rockville, Montenotte, Cork, Ireland",Development - Commenced,,,KPMG,www.kpmg.ie
Rooskagh Valley,Shanagarry,Cork,Ireland,"Rooskagh Valley, Shanagarry, Cork, Ireland",Residential,,Multiple,Ernst & Young,www.ey.com
"Ard
Shionnach",Shanakiel,Cork,Ireland,"Ard
Shionnach, Shanakiel, Cork, Ireland",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Townsend Street,Skibbereen,Cork,Ireland,"Townsend Street, Skibbereen, Cork, Ireland",Mixed Use,,Multiple,KPMG,www.kpmg.ie
The Bower,Timoleague,Cork,Ireland,"The Bower, Timoleague, Cork, Ireland",Other,"Disused
quarry/forestry",Single,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
"City
Square",Watercourse Road,Cork,Ireland,"City
Square, Watercourse Road, Cork, Ireland",Mixed Use,,Multiple,Grant Thornton,www.grantthornton.ie
Earls Well,Waterfall,Cork,Ireland,"Earls Well, Waterfall, Cork, Ireland",Development - Commenced,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Redbarn,Youghal,Cork,Ireland,"Redbarn, Youghal, Cork, Ireland",Hotel,,Single,Ernst & Young,www.ey.com
Castletownshend,,Cork,Ireland,"Castletownshend, Cork, Ireland",Agricultural Land,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Mitchelstown,,Cork,Ireland,"Mitchelstown, Cork, Ireland",Agricultural Land,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Castlemartyr,,Cork,Ireland,"Castlemartyr, Cork, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Conna,,Cork,Ireland,"Conna, Cork, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Grand Parade,,Cork,Ireland,"Grand Parade, Cork, Ireland",Mixed Use,,Multiple,KPMG,www.kpmg.ie
"Certrain units at
Grand Parade",,Cork,Ireland,"Grand Parade, Cork, Ireland",Mixed Use,,Multiple,KPMG,www.kpmg.ie
Grand Parade,,Cork,Ireland,"Grand Parade, Cork, Ireland",Development - Not Commenced,,,KPMG,www.kpmg.ie
South Main Street,,Cork,Ireland,"South Main Street, Cork, Ireland",Mixed Use,,Multiple,KPMG,www.kpmg.ie
South Main Street,,Cork,Ireland,"South Main Street, Cork, Ireland",Development - Not Commenced,,,KPMG,www.kpmg.ie
Fota Island,,Cork,Ireland,"Fota Island, Cork, Ireland",Hotel,,Single,PwC,www.pwc.com/ie
Fota Island,,Cork,Ireland,"Fota Island, Cork, Ireland",Other,Golf Courses,Single,PwC,www.pwc.com/ie
"Fota
Island",,Cork,Ireland,"Fota
Island, Cork, Ireland",Other,Holiday Cottages,Multiple,PwC,www.pwc.com/ie
Fota Island,,Cork,Ireland,"Fota Island, Cork, Ireland",Other,Hotel & Golf Course,Multiple,PwC,www.pwc.com/ie
Grand Parade,,Cork,Ireland,"Grand Parade, Cork, Ireland",Mixed Use,,Single,Ernst & Young,www.ey.com
Grand Parade,,Cork,Ireland,"Grand Parade, Cork, Ireland",Retail,,Single,Ernst & Young,www.ey.com
Blue Cedars,Ballybofey,Donegal,Ireland,"Blue Cedars, Ballybofey, Donegal, Ireland",Residential,,Multiple,Keenan Corporate Finance,www.keenancf.com
Cappry,Ballybofey,Donegal,Ireland,"Cappry, Ballybofey, Donegal, Ireland",Development - Not Commenced,,,Keenan Corporate Finance,www.keenancf.com
Carrownamaddy,Burt,Donegal,Ireland,"Carrownamaddy, Burt, Donegal, Ireland",Development - Commenced,,,Keenan Corporate Finance,www.keenancf.com
Sheephaven Bay,Carrigart,Donegal,Ireland,"Sheephaven Bay, Carrigart, Donegal, Ireland",Other,Two golf courses,Single,kavanaghfennell,www.kavanaghfennell.ie
Liscooley,Castlefin,Donegal,Ireland,"Liscooley, Castlefin, Donegal, Ireland",Development - Not Commenced,,,Keenan Corporate Finance,www.keenancf.com
Doonan,Donegal Town,Donegal,Ireland,"Doonan, Donegal Town, Donegal, Ireland",Development - Not Commenced,,,Keenan Corporate Finance,www.keenancf.com
Carnamuggagh,Letterkenny,Donegal,Ireland,"Carnamuggagh, Letterkenny, Donegal, Ireland",Other,Nursing Home,Single,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Ballymacool,Letterkenny,Donegal,Ireland,"Ballymacool, Letterkenny, Donegal, Ireland",Development - Not Commenced,,,PwC,www.pwc.co.uk
Windy Heights,Letterkenny,Donegal,Ireland,"Windy Heights, Letterkenny, Donegal, Ireland",Development - Commenced,,,Keenan Corporate Finance,www.keenancf.com
Loughnagin,Letterkenny,Donegal,Ireland,"Loughnagin, Letterkenny, Donegal, Ireland",Development - Not Commenced,,,Keenan Corporate Finance,www.keenancf.com
Carnamuggagh,Letterkenny,Donegal,Ireland,"Carnamuggagh, Letterkenny, Donegal, Ireland",Development - Not Commenced,,,Keenan Corporate Finance,www.keenancf.com
Ard Ban,Muff,Donegal,Ireland,"Ard Ban, Muff, Donegal, Ireland",Development - Not Commenced,,,PwC,www.pwc.co.uk
Ballyhaskey,Newtowncunningham,Donegal,Ireland,"Ballyhaskey, Newtowncunningham, Donegal, Ireland",Residential,,Multiple,PwC,www.pwc.co.uk
Ballyhaskey,Newtowncunningham,Donegal,Ireland,"Ballyhaskey, Newtowncunningham, Donegal, Ireland",Development - Commenced,,,PwC,www.pwc.co.uk
Townparks,Raphoe,Donegal,Ireland,"Townparks, Raphoe, Donegal, Ireland",Development - Not Commenced,,,Keenan Corporate Finance,www.keenancf.com
Glencairn,,Dublin,Ireland,"Glencairn, Dublin, Ireland",Development - Not Commenced,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
"Certain Assets at Mill
Street",Ballbriggan,Dublin,Ireland,"Certain Assets at Mill
Street, Ballbriggan, Dublin, Ireland",Development - Commenced,,,kavanaghfennell,www.kavanaghfennell.ie
Carysfort Avenue,Blackrock,Dublin,Ireland,"Carysfort Avenue, Blackrock, Dublin, Ireland",Office,,Single,Savills,www.savills.ie
Luttrellstown Road,Castleknock,Dublin,Ireland,"Luttrellstown Road, Castleknock, Dublin, Ireland",Development - Not Commenced,,,Deloitte,www.deloitte.com/ie
Luttrellstown Road,Castleknock,Dublin,Ireland,"Luttrellstown Road, Castleknock, Dublin, Ireland",Residential,,Single,Deloitte,www.deloitte.com/ie
"Carpenderstown
Road",Castleknock,Dublin,Ireland,"Carpenderstown
Road, Castleknock, Dublin, Ireland",Residential,,Single,Deloitte,www.deloitte.com/ie
Maldron Hotel,Citywest,Dublin,Ireland,"Maldron Hotel, Citywest, Dublin, Ireland",Hotel,,Single,KPMG,www.kpmg.ie
"Westpark
Apartments",Citywest,Dublin,Ireland,"Westpark
Apartments, Citywest, Dublin, Ireland",Residential,,Multiple,KPMG,www.kpmg.ie
Beech Hill Road,Clonskeagh,Dublin,Ireland,"Beech Hill Road, Clonskeagh, Dublin, Ireland",Office,,Single,Savills,www.savills.ie
"Certain Assets at
Castle Street",Dalkey,Dublin,Ireland,"Certain Assets at
Castle Street, Dalkey, Dublin, Ireland",Residential,,Multiple,W.K Nowlan & Associates,www.wkn.ie
Clarion Hotel,Dublin Airport,Dublin,Ireland,"Clarion Hotel, Dublin Airport, Dublin, Ireland",Hotel,,Single,KPMG,www.kpmg.ie
Teeling site,Howth,Dublin,Ireland,"Teeling site, Howth, Dublin, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Techrete site,Howth,Dublin,Ireland,"Techrete site, Howth, Dublin, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Old Dublin Road,Lucan,Dublin,Ireland,"Old Dublin Road, Lucan, Dublin, Ireland",Mixed Use,,Multiple,PwC,www.pwc.com/ie
Back Road,Malahide,Dublin,Ireland,"Back Road, Malahide, Dublin, Ireland",Development - Not Commenced,,,Deloitte,www.deloitte.com/ie
"Certain Assets at
Glandore Court",Monkstown,Dublin,Ireland,"Certain Assets at
Glandore Court, Monkstown, Dublin, Ireland",Residential,,Single,W.K Nowlan & Associates,www.wkn.ie
Parsons Court,Newcastle,Dublin,Ireland,"Parsons Court, Newcastle, Dublin, Ireland",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
"Portmarnock Hotel &
Golf Links",Portmarnock,Dublin,Ireland,"Portmarnock Hotel &
Golf Links, Portmarnock, Dublin, Ireland",Other,Hotel and Golf Course,Single,Mazars,www.mazars.ie
Redoak,Sandyford Business Park,Dublin,Ireland,"Redoak, Sandyford Business Park, Dublin, Ireland",Office,,Single,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Smithfield Market,Smithfield,Dublin,Ireland,"Smithfield Market, Smithfield, Dublin, Ireland",Other,Car Park,Single,Savills,www.savills.ie
Smithfield Market,Smithfield,Dublin,Ireland,"Smithfield Market, Smithfield, Dublin, Ireland",Other,Medical Centre,Multiple,Savills,www.savills.ie
Smithfield Market,Smithfield,Dublin,Ireland,"Smithfield Market, Smithfield, Dublin, Ireland",Other,Gym,Single,Savills,www.savills.ie
Smithfield Market,Smithfield,Dublin,Ireland,"Smithfield Market, Smithfield, Dublin, Ireland",Retail,,Multiple,Savills,www.savills.ie
Parkview,Stepaside,Dublin,Ireland,"Parkview, Stepaside, Dublin, Ireland",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Airside Business Park,Swords,Dublin,Ireland,"Airside Business Park, Swords, Dublin, Ireland",Office,,Multiple,BDO Ireland,www.bdo.ie
Kilternan,,Dublin,Ireland,"Kilternan, Dublin, Ireland",Development - Commenced,,,Ernst & Young,www.ey.com
Rathfarnham,,Dublin,Ireland,"Rathfarnham, Dublin, Ireland",Other,"Historical Abbey
Building",Single,kavanaghfennell,www.kavanaghfennell.ie
Grattan House,Clarehall,Dublin,Ireland,"Grattan House, Clarehall, Dublin, Ireland",Office,,Single,Grant Thornton,www.grantthornton.ie
St Margaret's Road,Dublin Airport,Dublin,Ireland,"St Margaret's Road, Dublin Airport, Dublin, Ireland",Development - Not Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"The
Grange",Stillorgan,Dublin,Ireland,"The Grange, Stillorgan, Dublin, Ireland",Mixed Use,,Multiple,Grant Thornton,www.grantthornton.ie
Castleforbes House,Castleforbes Road,Dublin 1,Ireland,"Castleforbes House, Castleforbes Road, Dublin 1, Ireland",Mixed Use,,Multiple,Deloitte,www.deloitte.com/ie
Castleforbes Square,Castleforbes Road,Dublin 1,Ireland,"Castleforbes Square, Castleforbes Road, Dublin 1, Ireland",Residential,,Multiple,Deloitte,www.deloitte.com/ie
Clarion Hotel,IFSC,Dublin 1,Ireland,"Clarion Hotel, IFSC, Dublin 1, Ireland",Hotel,,Single,KPMG,www.kpmg.ie
Block 1,North Wall Quay,Dublin 1,Ireland,"Block 1, North Wall Quay, Dublin 1, Ireland",Development - Commenced,,,McStay Luby,N/A
Northbank,Sheriff Street,Dublin 1,Ireland,"Northbank, Sheriff Street, Dublin 1, Ireland",Residential,,Multiple,Deloitte,www.deloitte.com/ie
Day's Inn,Talbot Street,Dublin 1,Ireland,"Day's Inn, Talbot Street, Dublin 1, Ireland",Hotel,,Single,KPMG,www.kpmg.ie
Great Strand Street,,Dublin 1,Ireland,"Great Strand Street, Dublin 1, Ireland",Development - Commenced,,,Ferris & Associates,N/A
Ormond Quay,,Dublin 1,Ireland,"Ormond Quay, Dublin 1, Ireland",Office,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Sheriff St Upper, New
Wapping Street and
Mayor Street Upper",,Dublin 1,Ireland,"Sheriff St Upper, New
Wapping Street and
Mayor Street Upper, Dublin 1, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
Sheriff St,,Dublin 1,Ireland,"Sheriff St, Dublin 1, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
Mayor Street Upper,,Dublin 1,Ireland,"Mayor Street Upper, Dublin 1, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
"Castleforbes Road,
Mayor Street Upper
and North Wall Quay",,Dublin 1,Ireland,"Castleforbes Road,
Mayor Street Upper
and North Wall Quay, Dublin 1, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
"Mayor Street Upper
and Castleforbes
Road",,Dublin 1,Ireland,"Mayor Street Upper
and Castleforbes
Road, Dublin 1, Ireland",Development - Commenced,,,PwC,www.pwc.com/ie
Arran Quay Terrace,,Dublin 1,Ireland,"Arran Quay Terrace, Dublin 1, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
North Wall Quay,,Dublin 1,Ireland,"North Wall Quay, Dublin 1, Ireland",Development - Commenced,,,PwC,www.pwc.com/ie
